liga,home_name,away_name,home_goals,away_goals,actual,predicted,prob_H,prob_U,prob_B,lambda_h,lambda_b,correct
ENG Premier League,Arsenal,Liverpool,0,0,U,H,69.0,15.6,15.4,2.91,1.37,False
ENG Premier League,Everton,West Ham,1,1,U,B,19.8,24.4,55.8,0.88,1.66,False
ENG Premier League,Arsenal,West Ham,2,0,H,H,74.4,15.5,10.2,2.57,0.85,True
ENG Premier League,West Ham,Bournemouth,0,0,U,B,30.7,15.8,53.5,2.75,3.5,False
ENG Premier League,Bournemouth,Brentford,0,2,B,H,49.1,26.9,24.0,1.43,0.91,False
ENG Premier League,Arsenal,Brentford,2,0,H,H,71.3,18.3,10.4,2.14,0.67,True
ENG Premier League,Brentford,Bournemouth,4,1,H,H,76.5,11.4,12.1,4.04,1.77,True
ENG Premier League,Everton,Brentford,2,4,B,B,22.3,29.5,48.2,0.75,1.25,True
ENG Premier League,Brentford,Arsenal,1,1,U,B,33.9,23.8,42.3,1.45,1.64,False
ENG Premier League,Arsenal,Nottm Forest,3,0,H,H,61.2,23.7,15.1,1.69,0.7,True
ENG Premier League,Burnley,Nottm Forest,1,1,U,B,29.0,27.1,44.0,1.06,1.37,False
ENG Premier League,Bournemouth,Nottm Forest,2,0,H,H,38.0,30.1,31.9,1.1,0.98,True
ENG Premier League,Nottm Forest,Brighton,0,2,B,B,30.7,25.7,43.6,1.2,1.48,True
ENG Premier League,Everton,Nottm Forest,3,0,H,B,20.9,27.1,52.0,0.79,1.42,False
ENG Premier League,Nottm Forest,Everton,0,2,B,B,29.2,29.3,41.5,0.95,1.19,True
ENG Premier League,Nottm Forest,Arsenal,0,0,U,B,9.8,17.5,72.8,0.67,2.22,False
ENG Premier League,Nottm Forest,Crystal Palace,1,1,U,B,13.1,22.6,64.3,0.64,1.76,False
ENG Premier League,Everton,Brighton,2,0,H,B,22.2,23.7,54.1,1.02,1.74,False
ENG Premier League,Bournemouth,Brighton,2,1,H,H,43.2,27.8,29.0,1.31,1.02,True
ENG Premier League,Arsenal,Brighton,2,0,H,H,73.4,17.2,9.4,2.24,0.66,True
ENG Premier League,Crystal Palace,Brighton,0,0,U,H,36.2,28.3,35.5,1.16,1.15,False
ENG Premier League,Arsenal,Brighton,2,1,H,H,75.3,17.2,7.6,2.14,0.51,True
ENG Premier League,Brighton,Burnley,2,0,H,H,73.0,14.9,12.1,2.83,1.1,True
ENG Premier League,Brighton,Bournemouth,1,1,U,H,69.7,14.0,16.2,3.45,1.75,False
ENG Premier League,Brighton,Everton,1,1,U,H,48.9,27.1,24.0,1.41,0.9,False
ENG Premier League,Brighton,Crystal Palace,0,1,B,B,33.7,27.7,38.6,1.15,1.25,True
ENG Premier League,Everton,Bournemouth,0,3,B,B,35.3,19.1,45.6,2.14,2.43,True
ENG Premier League,Everton,Crystal Palace,2,1,H,B,12.7,21.2,66.1,0.68,1.88,False
ENG Premier League,Bournemouth,Everton,0,1,B,H,41.6,30.2,28.2,1.15,0.89,False
ENG Premier League,Everton,Arsenal,0,1,B,B,11.4,18.7,69.9,0.72,2.13,True
ENG Premier League,Burnley,Everton,0,0,U,B,26.0,28.2,45.7,0.91,1.31,False
ENG Premier League,Everton,Bournemouth,1,2,B,B,28.1,18.8,53.1,1.85,2.54,True
ENG Premier League,Arsenal,Crystal Palace,1,0,H,H,56.6,25.3,18.2,1.57,0.77,True
ENG Premier League,Burnley,Arsenal,0,2,B,B,12.4,21.6,66.0,0.65,1.84,True
ENG Premier League,Arsenal,Crystal Palace,9,8,H,H,58.7,25.5,15.8,1.54,0.66,True
ENG Premier League,Bournemouth,Arsenal,2,3,B,B,19.6,28.1,52.2,0.71,1.36,True
ENG Premier League,Crystal Palace,Bournemouth,3,3,U,B,36.8,21.6,41.7,1.79,1.91,False
ENG Premier League,Burnley,Crystal Palace,0,1,B,B,18.8,21.2,60.0,1.03,2.01,True
ENG Premier League,Crystal Palace,Burnley,2,3,B,H,56.2,22.2,21.6,1.91,1.1,False
ENG Premier League,Bournemouth,Burnley,1,1,U,H,59.9,20.6,19.5,2.1,1.12,False
ENG Championship,Wrexham,Sheff Utd,5,3,H,H,45.5,26.6,27.9,1.42,1.05,True
ENG Championship,Coventry,Birmingham,3,0,H,H,73.0,17.8,9.2,2.15,0.61,True
ENG Championship,Wrexham,Birmingham,1,1,U,H,56.5,22.7,20.9,1.85,1.03,False
ENG Championship,Bristol City,Birmingham,1,0,H,H,47.7,26.9,25.5,1.42,0.96,True
ENG Championship,West Brom,Birmingham,1,1,U,H,53.4,27.1,19.5,1.43,0.74,False
ENG Championship,Watford,Birmingham,3,0,H,H,39.5,31.9,28.6,1.04,0.84,True
ENG Championship,Birmingham,Coventry,3,2,H,H,46.0,22.7,31.3,1.82,1.47,True
ENG Championship,Birmingham,West Brom,0,0,U,H,81.3,11.0,7.6,3.37,1.03,False
ENG Championship,Stoke,West Brom,0,1,B,H,67.5,18.4,14.0,2.27,0.93,False
ENG Championship,Stoke,Wrexham,1,0,H,B,24.3,33.0,42.7,0.7,1.03,False
ENG Championship,Stoke,Bristol City,5,1,H,B,28.3,34.6,37.1,0.75,0.9,False
ENG Championship,Stoke,Coventry,0,1,B,H,40.8,24.1,35.1,1.59,1.45,False
ENG Championship,Watford,Stoke,1,0,H,H,36.9,33.5,29.7,0.94,0.81,True
ENG Championship,Hull,Stoke,0,1,B,H,39.5,27.0,33.4,1.31,1.18,False
ENG Championship,Norwich,Stoke,0,2,B,B,33.0,32.7,34.3,0.89,0.92,True
ENG Championship,Stoke,Coventry,1,0,H,B,32.8,25.9,41.4,1.24,1.43,False
ENG Championship,West Brom,Stoke,0,0,U,H,35.5,33.4,31.1,0.92,0.84,False
ENG Championship,Wrexham,West Brom,2,3,B,H,60.2,19.2,20.6,2.34,1.32,False
ENG Championship,Middlesbrough,West Brom,2,1,H,H,77.0,16.9,6.1,2.1,0.42,True
ENG Championship,Norwich,West Brom,0,1,B,H,43.4,23.6,33.0,1.67,1.43,False
ENG Championship,West Brom,Preston,2,1,H,B,27.9,35.2,36.9,0.72,0.88,False
ENG Championship,Watford,West Brom,2,1,H,H,52.6,24.4,23.0,1.66,1.01,True
ENG Championship,Coventry,West Brom,3,2,H,H,83.2,11.0,5.8,3.04,0.71,True
ENG Championship,Hull,West Brom,1,0,H,H,49.5,20.0,30.5,2.27,1.77,True
ENG Championship,West Brom,Bristol City,1,2,B,H,42.4,28.7,29.0,1.24,0.97,False
ENG Championship,West Brom,Middlesbrough,2,3,B,B,24.0,31.6,44.4,0.73,1.11,True
ENG Championship,West Brom,Norwich,0,5,B,B,36.4,26.5,37.1,1.28,1.3,True
ENG Championship,Norwich,West Brom,3,1,H,H,38.1,25.2,36.7,1.43,1.39,True
ENG Championship,West Brom,Coventry,0,2,B,B,22.0,21.2,56.8,1.21,2.05,True
ENG Championship,Watford,Norwich,1,2,B,B,31.7,27.2,41.1,1.12,1.32,True
ENG Championship,Watford,Hull,2,1,H,B,31.1,23.6,45.3,1.37,1.7,False
ENG Championship,Coventry,Watford,3,1,H,H,69.8,19.4,10.8,2.03,0.65,True
ENG Championship,Watford,Middlesbrough,3,0,H,B,25.0,29.5,45.6,0.83,1.23,False
ENG Championship,Watford,Bristol City,1,1,U,H,42.2,28.0,29.8,1.28,1.03,False
ENG Championship,Watford,Preston,1,1,U,H,33.9,33.5,32.7,0.89,0.86,False
ENG Championship,Watford,Norwich,3,2,H,B,33.1,27.1,39.8,1.16,1.3,False
ENG Championship,Wrexham,Watford,2,2,U,H,46.5,24.6,28.9,1.61,1.22,False
ENG Championship,Norwich,Watford,0,1,B,H,38.3,27.9,33.8,1.23,1.13,False
ENG Championship,Bristol City,Watford,5,1,H,H,43.3,27.5,29.2,1.33,1.04,True
ENG Championship,Hull,Watford,0,0,U,H,47.6,23.6,28.8,1.73,1.3,False
ENG Championship,Preston,Watford,2,2,U,H,58.4,25.8,15.8,1.52,0.65,False
ENG Championship,Preston,Wrexham,2,3,B,U,32.9,34.1,33.0,0.85,0.85,False
ENG Championship,Preston,Middlesbrough,2,2,U,H,36.0,28.4,35.6,1.15,1.14,False
ENG Championship,Preston,Bristol City,0,0,U,H,41.9,26.6,31.6,1.38,1.16,False
ENG Championship,Hull,Preston,2,2,U,B,27.8,29.1,43.0,0.92,1.22,False
ENG Championship,Preston,Wrexham,1,1,U,B,29.6,30.2,40.3,0.92,1.13,False
ENG Championship,Preston,Coventry,1,1,U,B,31.2,25.2,43.5,1.25,1.52,False
ENG Championship,Preston,Norwich,1,1,U,B,33.2,25.3,41.5,1.3,1.48,False
ENG Championship,Wrexham,Preston,2,1,H,B,30.3,26.2,43.5,1.15,1.43,False
ENG Championship,Bristol City,Preston,0,2,B,H,39.3,28.1,32.7,1.23,1.1,False
ENG Championship,Preston,Hull,0,3,B,B,34.9,23.7,41.4,1.48,1.63,True
ENG Championship,Middlesbrough,Preston,4,0,H,H,50.4,34.5,15.1,1.04,0.43,True
ENG Championship,Coventry,Hull,0,0,U,H,60.6,19.1,20.3,2.36,1.32,False
ENG Championship,Wrexham,Hull,8,6,H,B,26.8,20.3,52.9,1.55,2.22,False
ENG Championship,Bristol City,Hull,4,2,H,B,36.6,20.3,43.1,1.97,2.15,False
ENG Championship,Norwich,Hull,0,2,B,B,26.8,20.4,52.8,1.54,2.2,True
ENG Championship,Hull,Middlesbrough,1,4,B,B,28.3,24.8,46.9,1.18,1.59,True
ENG Championship,Hull,Wrexham,2,0,H,B,20.8,24.2,55.0,0.93,1.68,False
ENG Championship,Middlesbrough,Hull,0,1,B,H,71.4,18.0,10.5,2.18,0.7,False
ENG Championship,Hull,Bristol City,2,3,B,B,31.6,26.1,42.3,1.19,1.42,True
ENG Championship,Coventry,Norwich,1,1,U,H,60.2,21.3,18.5,1.99,1.0,False
ENG Championship,Wrexham,Coventry,3,2,H,B,26.8,18.6,54.7,1.81,2.58,False
